N;Beg;Mid;End;False
37200;221.780000;234.100000;211.860000;332.440000;
37300;194.090000;184.810000;172.650000;194.860000;
37400;220.740000;178.250000;393.690000;186.060000;
37500;194.440000;176.190000;174.070000;221.180000;
37600;189.430000;173.040000;197.810000;218.250000;
37700;195.820000;174.170000;171.760000;208.790000;
37800;279.170000;195.260000;205.710000;223.750000;
37900;410.300000;196.020000;178.840000;524.510000;
38000;288.040000;209.190000;402.200000;225.310000;
38100;1231.080000;188.740000;210.020000;220.880000;
38200;221.700000;186.970000;211.890000;210.920000;
38300;245.400000;443.680000;182.780000;210.190000;
38400;257.040000;187.400000;210.280000;436.260000;
38500;217.820000;190.440000;200.750000;276.340000;
38600;202.920000;186.390000;205.440000;199.740000;
38700;195.040000;183.260000;180.640000;232.810000;
38800;349.700000;188.010000;210.800000;199.370000;
38900;201.730000;225.840000;211.120000;231.750000;
39000;279.210000;208.690000;210.390000;213.890000;
39100;288.800000;203.900000;186.590000;567.310000;
39200;450.750000;255.790000;220.100000;234.540000;
39300;325.600000;551.590000;416.140000;210.660000;
39400;226.280000;226.510000;240.990000;209.510000;
39500;259.680000;198.820000;281.790000;204.260000;
39600;224.550000;192.770000;221.090000;203.500000;
39700;217.870000;190.970000;187.330000;201.720000;
39800;250.080000;223.550000;244.420000;206.100000;
39900;199.760000;221.820000;196.220000;238.250000;
40000;206.220000;199.320000;220.390000;246.390000;
40100;207.680000;186.660000;184.070000;198.560000;
40200;351.860000;265.710000;215.900000;253.890000;
40300;373.840000;306.420000;205.030000;260.610000;
40400;316.450000;241.040000;508.890000;361.590000;
40500;340.530000;212.160000;194.040000;381.490000;
40600;268.260000;205.450000;222.050000;216.200000;
40700;248.760000;219.040000;192.990000;212.760000;
40800;219.700000;204.440000;218.000000;239.280000;
40900;562.170000;313.860000;193.300000;207.060000;
41000;230.240000;193.130000;216.560000;204.680000;
41100;211.700000;209.650000;200.260000;216.670000;
41200;224.600000;196.030000;217.070000;204.280000;
41300;296.310000;230.060000;186.220000;277.980000;
