N;Beg;Mid;End;False
47500;31.000000;31.000000;31.000000;31.000000;
47600;31.000000;29.000000;29.000000;29.000000;
47700;31.000000;31.000000;31.000000;31.000000;
47800;31.000000;31.000000;31.000000;31.000000;
47900;31.000000;31.000000;31.000000;29.000000;
48000;31.000000;31.000000;31.000000;29.000000;
48100;31.000000;29.000000;29.000000;29.000000;
48200;31.000000;31.000000;31.000000;29.000000;
48300;31.000000;31.000000;31.000000;29.000000;
48400;31.000000;31.000000;31.000000;29.000000;
48500;27.000000;29.000000;29.000000;29.000000;
48600;31.000000;29.000000;29.000000;29.000000;
48700;31.000000;29.000000;29.000000;23.000000;
48800;31.000000;31.000000;31.000000;29.000000;
48900;29.000000;31.000000;31.000000;23.000000;
49000;31.000000;29.000000;29.000000;29.000000;
49100;29.000000;29.000000;29.000000;23.000000;
49200;29.000000;29.000000;29.000000;23.000000;
49300;29.000000;31.000000;31.000000;29.000000;
49400;31.000000;29.000000;29.000000;29.000000;
49500;31.000000;31.000000;31.000000;29.000000;
49600;29.000000;31.000000;31.000000;29.000000;
49700;29.000000;31.000000;31.000000;29.000000;
49800;29.000000;27.000000;27.000000;29.000000;
49900;31.000000;31.000000;31.000000;23.000000;
50000;31.000000;31.000000;31.000000;29.000000;
50100;31.000000;31.000000;31.000000;29.000000;
50200;29.000000;31.000000;31.000000;29.000000;
50300;31.000000;31.000000;31.000000;23.000000;
50400;31.000000;31.000000;31.000000;29.000000;
50500;31.000000;31.000000;31.000000;29.000000;
50600;31.000000;31.000000;31.000000;31.000000;
50700;29.000000;31.000000;31.000000;29.000000;
50800;31.000000;31.000000;31.000000;29.000000;
50900;31.000000;31.000000;31.000000;29.000000;
51000;31.000000;31.000000;31.000000;29.000000;
51100;31.000000;31.000000;31.000000;29.000000;
51200;29.000000;31.000000;31.000000;23.000000;
51300;31.000000;31.000000;31.000000;29.000000;
51400;31.000000;31.000000;31.000000;29.000000;
51500;31.000000;31.000000;31.000000;29.000000;
51600;31.000000;31.000000;31.000000;31.000000;
51700;31.000000;29.000000;29.000000;29.000000;
51800;31.000000;31.000000;31.000000;31.000000;
51900;31.000000;31.000000;31.000000;29.000000;
52000;31.000000;31.000000;31.000000;29.000000;
52100;31.000000;31.000000;31.000000;29.000000;
52200;31.000000;29.000000;29.000000;29.000000;
52300;31.000000;31.000000;31.000000;29.000000;
52400;31.000000;31.000000;31.000000;29.000000;
52500;31.000000;31.000000;31.000000;29.000000;
52600;27.000000;29.000000;29.000000;29.000000;
52700;31.000000;29.000000;29.000000;23.000000;
52800;31.000000;31.000000;31.000000;23.000000;
52900;31.000000;31.000000;31.000000;29.000000;
53000;29.000000;31.000000;31.000000;23.000000;
53100;31.000000;29.000000;29.000000;23.000000;
53200;29.000000;29.000000;29.000000;23.000000;
53300;29.000000;29.000000;29.000000;23.000000;
53400;29.000000;31.000000;31.000000;29.000000;
53500;31.000000;29.000000;29.000000;23.000000;
53600;31.000000;31.000000;31.000000;29.000000;
53700;29.000000;31.000000;31.000000;29.000000;
53800;29.000000;31.000000;31.000000;29.000000;
53900;29.000000;27.000000;27.000000;29.000000;
54000;31.000000;31.000000;31.000000;23.000000;
54100;31.000000;31.000000;31.000000;29.000000;
54200;31.000000;31.000000;31.000000;29.000000;
54300;29.000000;31.000000;31.000000;23.000000;
54400;29.000000;27.000000;27.000000;23.000000;
54500;31.000000;31.000000;31.000000;29.000000;
54600;31.000000;31.000000;31.000000;29.000000;
54700;31.000000;31.000000;31.000000;29.000000;
54800;29.000000;31.000000;31.000000;29.000000;
54900;31.000000;31.000000;31.000000;29.000000;
55000;31.000000;31.000000;31.000000;29.000000;
55100;31.000000;31.000000;31.000000;23.000000;
55200;31.000000;31.000000;31.000000;29.000000;
55300;29.000000;31.000000;31.000000;23.000000;
55400;31.000000;31.000000;31.000000;29.000000;
55500;31.000000;31.000000;31.000000;29.000000;
55600;31.000000;31.000000;31.000000;29.000000;
55700;31.000000;31.000000;31.000000;31.000000;
55800;31.000000;29.000000;29.000000;29.000000;
55900;31.000000;31.000000;31.000000;29.000000;
56000;31.000000;31.000000;31.000000;29.000000;
56100;31.000000;31.000000;31.000000;29.000000;
56200;31.000000;31.000000;31.000000;29.000000;
56300;31.000000;29.000000;29.000000;23.000000;
56400;31.000000;31.000000;31.000000;29.000000;
56500;31.000000;31.000000;31.000000;29.000000;
56600;31.000000;31.000000;31.000000;29.000000;
56700;27.000000;29.000000;29.000000;23.000000;
56800;31.000000;29.000000;29.000000;23.000000;
56900;31.000000;31.000000;31.000000;23.000000;
57000;31.000000;31.000000;31.000000;29.000000;
57100;29.000000;31.000000;31.000000;23.000000;
57200;31.000000;29.000000;29.000000;23.000000;
57300;29.000000;29.000000;29.000000;23.000000;
57400;29.000000;29.000000;29.000000;23.000000;
57500;29.000000;31.000000;31.000000;23.000000;
57600;29.000000;31.000000;31.000000;23.000000;
57700;31.000000;31.000000;31.000000;29.000000;
57800;29.000000;31.000000;31.000000;29.000000;
57900;29.000000;31.000000;31.000000;23.000000;
58000;29.000000;27.000000;27.000000;29.000000;
