N;DC;DS;DT;DCN;DSN;IC;IS;IT;ICN;ISN;MC;MS;MT;MCN;MSN;QC;QS;QT;QCN;QSN;HC;HS;HT;HCN;HSN
7600;102926.500000;56822.800781;764;13.542960;7.476684;14502611.000000;14502611.000000;56028;1908.238281;1908.238281;88435.398438;98208.000000;1115;11.636236;12.922105;138926.703125;24214.199219;819;18.279829;3.186079;138941.906250;67386.703125;674;18.281830;8.866672;
7700;106099.500000;57838.898438;794;13.779156;7.511545;14835922.000000;14835922.000000;54420;1926.743164;1926.743164;89754.601562;99608.000000;1124;11.656442;12.936104;143047.906250;24499.900391;828;18.577650;3.181805;143438.906250;68758.101562;696;18.628429;8.929624;
7800;106662.796875;59353.800781;820;13.674718;7.609462;15140554.000000;15140554.000000;55607;1941.096680;1941.096680;91069.398438;101008.000000;1621;11.675564;12.949743;143789.703125;24802.800781;1190;18.434578;3.179846;143619.203125;68961.601562;990;18.412718;8.841231;
7900;110641.296875;58918.699219;1139;14.005227;7.458063;15580299.000000;15580299.000000;68268;1972.189697;1972.189697;92388.796875;102408.000000;1157;11.694784;12.963038;145780.500000;25237.800781;861;18.453228;3.194658;145222.703125;69703.601562;712;18.382620;8.823240;
8000;109536.203125;60223.199219;821;13.692025;7.527900;16004733.000000;16004733.000000;58956;2000.591675;2000.591675;93642.101562;103808.000000;1169;11.705263;12.976000;147723.796875;25590.800781;884;18.465475;3.198850;147557.796875;70898.898438;724;18.444725;8.862362;
8100;112777.796875;62365.898438;852;13.923184;7.699493;16372683.000000;16372683.000000;60271;2021.318848;2021.318848;94960.500000;105208.000000;1197;11.723518;12.988642;149895.500000;25971.699219;888;18.505617;3.206383;149823.906250;72021.296875;739;18.496778;8.891519;
8200;114144.796875;61641.601562;845;13.920097;7.517269;16824012.000000;16824012.000000;61904;2051.708740;2051.708740;96239.703125;106616.000000;2157;11.736549;13.001951;156186.203125;26133.000000;1451;19.047098;3.186951;156141.593750;72803.703125;1220;19.041658;8.878500;
8300;114680.398438;61540.800781;1384;13.816916;7.414554;17261324.000000;17261324.000000;80374;2079.677490;2079.677490;97573.500000;108116.000000;1229;11.755843;13.026024;158022.796875;26543.400391;929;19.038891;3.198000;158176.000000;73909.796875;765;19.057350;8.904795;
8400;118679.796875;63459.000000;873;14.128548;7.554643;17583024.000000;17583024.000000;65075;2093.217041;2093.217041;98925.703125;109616.000000;1221;11.776870;13.049523;155950.500000;27025.300781;936;18.565536;3.217298;156338.093750;75418.796875;771;18.611677;8.978428;
8500;115925.296875;64823.800781;888;13.638270;7.626329;18024428.000000;18024428.000000;66805;2120.520996;2120.520996;100289.203125;111116.000000;1891;11.798730;13.072471;159977.703125;27272.199219;1537;18.820906;3.208494;160023.203125;75546.703125;1186;18.826260;8.887848;
8600;120819.101562;65380.199219;1303;14.048733;7.602349;18488464.000000;18488464.000000;81093;2149.821289;2149.821289;101584.296875;112616.000000;1449;11.812127;13.094884;162010.203125;27694.699219;1059;18.838396;3.220314;162171.406250;76897.296875;876;18.857140;8.941546;
8700;121408.398438;64594.101562;995;13.954988;7.424609;18913290.000000;18913290.000000;70457;2173.941406;2173.941406;102971.703125;114116.000000;1273;11.835828;13.116781;161331.796875;28028.400391;952;18.543884;3.221655;161380.093750;77504.796875;791;18.549437;8.908597;
8800;121433.796875;65736.296875;900;13.799295;7.470034;19341934.000000;19341934.000000;71092;2197.947021;2197.947021;104302.398438;115616.000000;1641;11.852546;13.138182;164458.500000;28396.300781;1536;18.688465;3.226852;164537.203125;78511.601562;1312;18.697409;8.921773;
8900;124821.101562;67255.601562;1511;14.024843;7.556809;19730428.000000;19730428.000000;85895;2216.902100;2216.902100;105603.296875;117116.000000;1331;11.865539;13.159101;166942.796875;28687.400391;957;18.757618;3.223303;166809.406250;79456.601562;797;18.742630;8.927708;
9000;126781.601562;67509.296875;937;14.086844;7.501033;20253696.000000;20253696.000000;74516;2250.410645;2250.410645;106985.898438;118616.000000;1344;11.887322;13.179556;170264.000000;29029.599609;975;18.918222;3.225511;170424.406250;80277.601562;815;18.936045;8.919733;
9100;126833.703125;69294.296875;947;13.937770;7.614758;20707418.000000;20707418.000000;76120;2275.540527;2275.540527;108325.296875;120116.000000;1453;11.903879;13.199560;172913.796875;29328.300781;1224;19.001516;3.222890;172768.593750;80922.398438;972;18.985559;8.892571;
9200;131050.500000;71453.000000;1322;14.244619;7.766631;21128926.000000;21128926.000000;89036;2296.622314;2296.622314;109668.601562;121616.000000;1681;11.920500;13.219131;172218.593750;29886.400391;1226;18.719412;3.248522;171924.000000;81999.703125;1014;18.687391;8.913012;
9300;130516.898438;71086.601562;1189;14.034075;7.643721;21611994.000000;21611994.000000;85422;2323.870361;2323.870361;110999.601562;123116.000000;1391;11.935441;13.238279;172468.203125;30245.699219;1032;18.544968;3.252226;171895.406250;82713.000000;895;18.483377;8.893871;
9400;134368.000000;71408.101562;988;14.294468;7.596607;22143822.000000;22143822.000000;82329;2355.725830;2355.725830;112376.000000;124616.000000;1468;11.954894;13.257021;177910.406250;30566.699219;1061;18.926640;3.251776;178036.593750;84227.601562;876;18.940063;8.960383;
9500;133655.593750;72977.203125;1145;14.069010;7.681811;22558908.000000;22558908.000000;88403;2374.621826;2374.621826;113715.101562;126116.000000;2032;11.970011;13.275369;182171.203125;30814.300781;1499;19.175917;3.243611;182152.703125;84658.398438;1257;19.173969;8.911410;
9600;136693.000000;74484.000000;1420;14.238854;7.758750;23090524.000000;23090524.000000;96118;2405.262939;2405.262939;115058.296875;127616.000000;1478;11.985239;13.293333;179216.203125;31224.400391;1058;18.668354;3.252542;178408.593750;84935.898438;880;18.584229;8.847489;
9700;137876.093750;75123.898438;1035;14.214030;7.744732;23562414.000000;23562414.000000;87021;2429.114746;2429.114746;116382.898438;129116.000000;1547;11.998237;13.310927;185133.500000;31594.400391;1058;19.085928;3.257155;185348.906250;87102.296875;894;19.108135;8.979618;
9800;140837.093750;73423.000000;1586;14.371132;7.492143;24008748.000000;24008748.000000;98683;2449.872314;2449.872314;117737.500000;130616.000000;1836;12.014030;13.328163;185737.500000;31987.699219;1301;18.952806;3.264051;185631.703125;87716.601562;1085;18.942011;8.950674;
9900;142188.703125;76827.296875;1246;14.362495;7.760333;24480160.000000;24480160.000000;95202;2472.743408;2472.743408;119092.703125;132116.000000;1535;12.029566;13.345051;185561.796875;32448.500000;1127;18.743616;3.277626;185811.203125;89226.398438;927;18.768808;9.012768;
10000;142202.500000;78438.898438;1065;14.220250;7.843890;25035982.000000;25035982.000000;92210;2503.598145;2503.598145;120448.398438;133616.000000;1614;12.044840;13.361600;188003.203125;32685.199219;1112;18.800320;3.268520;188111.296875;89620.601562;924;18.811131;8.962060;
